m'ahohoahoa;my pleasure
mmonnaato a wɔde teɛteɛ obi;corrective rape
mmonnaato amammerɛ;rape culture
mmonnaatofo;rapist
mmorosoɔ;excess
mmorɔnoma dan;dovecote
mmorɔnoma dan a ɛwɔ soro;pigeon loft
mmorɔnoma tokuru;pigeonhole
mmu adeɛ;rude
mmuadadi;fasting
mmuaeɛ ma;answer to
mmubuafo;crippled
mmubuafo;handicap
mmubuafo;paralyze
mmubuafo a wɔabubu;paraplegic
mmubuafo akongua;wheelchair
mmusua mu nyiyim;racism
mmusua mu nyiyim;racist
mmusuakuw a wofi mu;ethnicity
mmusuakuw a wɔde wɔn ho hyɛ mu;ethnocentrism
mmusuakuw asetɔre;genocide
mmusuakuw din;ethnonym
mmusuakuw ho adesua;ethnographic
mmusuakuw ho adesua;ethnological
mmusuakuw ho adesua;ethnology
mmusuakuw ho adesua;tribology
mmusuakuw mu;ethnic
mmusuakuw mu a wɔbɛtew wɔn so;ethnic cleansing
mmusuakuw mu kuw;ethnic group
mmusuakuw mu nyiyim;racial
mmusuakuw nnwom ho adesua;ethnomusicology
mmɔborohunu;clemency
mmɔborohunu;piteous
mmɔborohunu;pitiful
mmɔborohunu bɛn ara ni;what a pity
mmɔborohunufo;merciful
mmɔborohunufo;ruthful
mmɔbɔ;miserable
mmɔbɔ;pathetic
mmɔbɔ;pity
mmɔbɔmmɔbɔ;miserliness
mmɔbɔmmɔbɔ;wretch
mmɔdemmɔ;performance
mmɔdemmɔ mu onimuonyamfoɔ;knight
mmɔdenbɔ;trying
mmɔdenbɔ biara nni ho;effortless
mmɔfrabrɛ;childhood
mmɔho;cluster
mmɔho abien;doubly
mmɔho abien;twofold
mmɔho abien krataa bend;double sheet bend
mmɔho abien-park;double-park
mmɔho abien-u;double-u
mmɔho anan;quadruple
mmɔho anum;quintuple
mmɔkaw;leaven
mmɔnten so aduan;street food
mmɔnten so ayayade;street harassment
mmɔnten so mmirikatu;street racing
mmɔnten so nnwontofo;street musician
mmɔre;dough
mmɔreka;yeast
mmɛdua dua;palm tree
mnemonic a wɔkae;mnemonic
mnemosyne a wɔde kyerɛw nneɛma;Mnemosyne
mo ankasa mo ho;yourselves
moa;moa
moai;moai
moan;moan
moat;moat
mobocracy a wɔde di dwuma;mobocracy
moccasin a wɔde yɛ nneɛma;moccasin
mocha;mocha
mockup a wɔde yɛ mfonini;mockup
modal a wɔde yɛ adwuma;modal
modal adeyɛ asɛm;modal adverb
modal adeyɛ asɛm;modal verb
mode;mode
modem a wɔde yɛ adwuma;modem
modena na ɛwɔ hɔ;Modena
moderantism a wɔde di dwuma wɔ ɔkwan a ɛfata so;moderantism
modicum (modicum) a ɛwɔ hɔ;modicum
modifier a ɛsakra nneɛma;modifier
modulate;modulate
module no;module
moebius yare a ɛma obi nya ɔyare no;Moebius syndrome
moesia na ɔkyerɛwee;Moesia
mogadishu na ɛwɔ hɔ;Mogadishu
moghulfoɔ;Moghul
mogilev na ɔkyerɛwee;Mogilev
mogul;mogul
mogya;blood
mogya a wɔde ma;blood transfusion
mogya a wɔde ma;transfuse
mogya a wɔde ma;transfusion
mogya a wɔde sie;blood bank
mogya a wɔsɛe no;hemolysis
mogya a wɔtow gu;bloodshot
mogya a ɛkɔ nipadua no mu;circulatory
mogya a ɛkɔ nipadua no mu nhyehyɛe;circulatory system
mogya a ɛma mogya tu;hematopoiesis
mogya a ɛma mogya tu;hemostasis
mogya a ɛretu;bleeding
mogya a ɛsen;blood flow
mogya a ɛtwetwe;blood clot
mogya a ɛtɔ gu nipadua no mu;clot
mogya a ɛtɔ gu nipadua no mu;hemorrhage
mogya a ɛtɔ kɔ nipadua mu;anemia
mogya a ɛtɔ kɔ nipadua mu;anemic
mogya a ɛtɔ kɔ nipadua mu a ɛwɔ sickle-cell mu;sickle-cell anemia
mogya a ɛyɛ borɔdɔma;blood orange
mogya a ɛyɛ nwini;cold-blooded
mogya adansedi;martyrdom
mogya bruu;blue blood
mogya dansefo;martyr
mogya dansefo;martyrium
mogya dansefo ho adesua;martyrology
mogya fi mu;bleed out
mogya hell;bloody hell
mogya ho akɔnnɔ;bloodlust
mogya ho nimdeɛ;hematologic
mogya ho sukɔm de wɔn;bloodthirsty
mogya ho ɔbenfo;haematologist
mogya mmoroso;blood pressure
mogya mmoroso;hypertension
mogya mmoroso a ɛba fam;hypotension
mogya mmoroso a ɛma mogya tu;hypertensive
mogya mu abususɛm;blood libel
mogya mu ahoɔden a ɛma mogya tu;hemodynamic
mogya mu ahoɔden a ɛma mogya tu;hemodynamics
mogya mu kokoram;leukemia
mogya mu nhwehwɛmu;blood test
mogya mu nhwehwɛmu;haematology
mogya mu nkwammoaa;blood cell
mogya mu nkwammoaa fitaa;white blood cell
mogya mu nkwammoaa kɔkɔɔ;red blood cell
mogya mu ntini;bloodstream
mogya mu soseji;blood sausage
mogya mu srade a ɛboro so;hypercholesterolemia
mogya mu su;blood type
mogya mu ɔbo;bloodstone
mogya mu ɔkraman;bloodhound
mogya nkwammoaa a ɛma mogya tu;platelet
mogya nnim;bloodless
mogya ntini;blood vessel
mogya ntini;bloodroot
mogya retu me;I'm bleeding
mogya tu;bleed
mogya tu kɔ owu mu;bleed to death
mogya ɔsram;blood moon
mogyahwiegu;bloodbath
mogyahwiegu;bloodshed
mogyahwiegu;bloody
mogyahwiegu mary;bloody mary
mogyahwiegu mu;bloodily
mogyatɔw a ɛma mogya tu;hemorrhagic
mohair a ɛyɛ mohair;mohair
mohatra a wɔde di dwuma;mohatra
mohawkfo na wɔkyerɛwee;Mohawk
mohel;mohel
mohism a wɔde di dwuma;Mohism
mojibake na ɛyɛ;mojibake
mojito;mojito
moksha na ɔyɛ;Moksha
molar;molar
molasses a wɔde di dwuma;molasses
moldaviafo kasa;Moldavian
moldaviafo ssr na ɛwɔ hɔ;Moldavian SSR
moldova na ɛwɔ hɔ;Moldova
mole kriket a wɔfrɛ no mole kriket;mole cricket
molecule;molecule
molecule dodow a ɛwɔ nipadua no mu;molecular mass
molecule mu duru;molecular weight
molecule mu nneɛma;molecular
molehill a ɛwɔ hɔ;molehill
molest;molest
mollify;mollify
mollusc a wɔfrɛ no mollusc;mollusc
molly;molly
molotov aduru a wɔde yɛ aduan;Molotov cocktail
molybdenite a wɔde yɛ nneɛma;molybdenite
molybdenum a wɔfrɛ no molybdenum;molybdenum
moma;forehead
mombin;mombin
momma abarimaa no;momma's boy
momma mo ani nnye;cheer up
momma mo ani nnye;rejoice
momma yɛn;let's
momma yɛnkɔ;let's go
mommra bom;come together
mommɔ mo yie;get along
momo;momo
mon;Mon
mona lisa na ɔkyerɛwee;Mona Lisa
monacan na ɔkyerɛwee;Monacan
monaco na ɛwɔ hɔ;Monaco
monad;monad
monadic a wɔde di dwuma;monadic
monastir na ɛyɛ;Monastir
mongol ahemman no;Mongol Empire
mongolfo;Mongol
mongolia a ɛwɔ mfinimfini fam;Inner Mongolia
mongolia kasa;Mongolian
mongolia na ɛwɔ hɔ;Mongolia
mongoliafo beae bi;Mongolian spot
mongoose a wɔfrɛ no mongoose;mongoose
mongrel a wɔde di dwuma;mongrel
monica na ɔkyerɛwee;Monica
moniker a wɔde frɛ obi;moniker
monism a ɛyɛ den;monism
monitor del monte na ɔkyerɛwee;monito del monte
monitor ɔkraman;monitor lizard
monnya ho kwan;forbear
mono- .;mono-
monoceros na ɔyɛ;Monoceros
monocle a wɔde di dwuma;monocle
monoclinic a wɔde yɛ adwuma;monoclinic
monocoque a wɔde ahyɛ mu;monocoque
monocots a ɛwɔ hɔ;monocots
monocotyledon a ɛwɔ hɔ;monocotyledon
monocyte a ɛwɔ nipadua no mu;monocyte
monogram a wɔde kyerɛw nsɛm;monogram
monograph;monograph
monokini a wɔde yɛ adwuma;monokini
monolith a wɔde ayɛ;monolith
monomer a wɔfrɛ no monomer;monomer
monometer a wɔde susuw nneɛma ho;monometer
monophosphide a wɔde yɛ adwuma;monophosphide
monophysite a ɛwɔ nipadua no mu;Monophysite
monoploid a ɛyɛ biako;monoploid
monoploidy a ɛyɛ adwuma;monoploidy
monopolistic a wɔyɛ;monopolistic
monopolize a wɔde di dwuma;monopolize
monopoly a ɛwɔ hɔ;Monopoly
monosaccharide a wɔde yɛ ade;monosaccharide
monosodium glutamate a ɛwɔ nipadua no mu;monosodium glutamate
monosomy a wɔde di dwuma;monosomy
monotone a ɛyɛ den;monotone
monotonoously;monotonously
monotonous a ɛyɛ nea ɛyɛ biako;monotonous
monotony a ɛyɛ biako;monotony
monotreme a wɔfrɛ no monotreme;monotreme
monoxide a wɔde yɛ adwuma;monoxide
monrovia na ɛwɔ hɔ;Monrovia
mons pubis a ɛwɔ nipadua no mu;mons pubis
monsakra mo adwene;repent
monsignor na ɔkyerɛwee;Monsignor
monster a ɛyɛ hu;monster
monster akokɔ;monster cock
monstrance a ɛyɛ hu;monstrance
monstrous a ɛyɛ hu;monstrous
monstrously;monstrously
monstrousness a ɛyɛ hu;monstrousness
montagu a ɔyɛ harrier no;Montagu's harrier
montana na ɛwɔ hɔ;Montana
montenegro kasa mu;Montenegrin
montenegro na ɛwɔ hɔ;Montenegro
montevideo na ɛwɔ hɔ;Montevideo
montreal na ɛwɔ hɔ;Montreal
montserrat na ɛwɔ hɔ;Montserrat
monégasque kasa mu;Monégasque
moo;moo
moo-moo;moo-moo
moobaa;mobile
moola;moola
moor;moor
moorhen, a ɛyɛ fɛ;moorhen
mooring a wɔde hyɛn mu;mooring
moorishfoɔ;Moorish
moose a wɔfrɛ no moose;moose
moot;moot
mop;mop
moped a wɔde tu mmirika;moped
mora;mora
moraceous a ɛyɛ hu;moraceous
moraine a wɔfrɛ no moraine;moraine
morass a wɔde yɛ nneɛma;morass
moratory a wɔde si hɔ;moratory
moravia na ɛwɔ hɔ;Moravia
moray;moray
mordacious a ɛyɛ hu;mordacious
mordant a wɔde di dwuma;mordant
mordekai;Mordecai
mordovia na ɔkyerɛwee;Mordovia
morello;morello
morelos na ɔkyerɛwee;Morelos
morgan le fay na ɔkyerɛwee;Morgan le Fay
morganatic a ɛyɛ den;morganatic
moriche nnua a wɔde yɛ nsateaa;moriche palm
morion;morion
mormon nwoma;Book of Mormon
mormonfo;Mormon
mormonsom;Mormonism
moroccanfo na wɔte saa;Moroccan
morocco na ɛwɔ hɔ;Morocco
moron a ɔyɛ ɔkwasea;moron
moroni;Moroni
morose;morose
morpheus na ɔkyerɛwee;Morpheus
morphine a wɔde yɛ nnuru;morphine
morse mmara;Morse code
morsel;morsel
mortadella a wɔfrɛ no mortadella;mortadella
mortify a ɛyɛ hu;mortify
morula;morula
mosaic a wɔde ayɛ;mosaic
mosarab;Mozarab
mosasaur a wɔfrɛ no mosasaur;mosasaur
moscovium a wɔfrɛ no moscovium;moscovium
moscow na ɛwɔ hɔ;Moscow
mose;Moses
mose nhoma ahorow;Books of Moses
moselle na ɔkyerɛwee;Moselle
mosothofoɔ;Mosotho
mossy a ɛyɛ nsɔe;mossy
mosul na ɛwɔ hɔ;Mosul
mot juste;mot juste
mote;mote
motet;motet
motherboard a wɔde yɛ adwuma;motherboard
motif;motif
motile;motile
motility a ɛma obi tumi keka ne ho;motility
motley a ɛyɛ nwonwa;motley
moto a wɔde tu kwan;motorcycle
moto so agodie;motorcycle sport
moto so taksi;motorcycle taxi
motocross a wɔde di dwuma;motocross
motokafo;motorcyclist
motoo;cushion
motoo;fluffy
motoo;smooth
motor no;motor
motor skuter a wɔde di dwuma;motor scooter
motorjet a wɔde yɛ adwuma;motorjet
mouflon a wɔfrɛ no mouflon;mouflon
moulin;moulin
moult a ɛyɛ mmerɛw;moult
mound;mound
mouse ntwahonan;mouse wheel
mouse pad a wɔde kyerɛw nsɛm;mouse pad
mousehole a wɔde hyɛ mu;mousehole
mousse a wɔfrɛ no mousse;mousse
mover ne nea ɔwosow;mover and shaker
mow;mow
moxibustion a wɔde di dwuma;moxibustion
moxie;moxie
mozambique na ɛwɔ hɔ;Mozambique
mozambiquefoɔ;Mozambican
mozarabic kasa mu;Mozarabic
mozartian na ɔkyerɛwee;Mozartian
mozzarella a wɔde yɛ nneɛma;mozzarella
mp3 afiri a wɔbɔ;MP3 player
mpa;bed
mpa a nnipa baanu da so;double bed
mpa a wɔde da so;bunk bed
mpa a wɔde roses ayɛ;bed of roses
mpa ne anɔpaduan a wɔde ma;bed and breakfast
mpa so a wɔde si hɔ;bedstead
mpa so mpɔtam hɔfo;bedroom community
mpa so nsuo;bedwetter
mpa so ntade;bedclothes
mpa so ntama;bed sheet
mpa so ntama;bedlinen
mpa so ntama;bedsheet
mpa so ntama a wɔde kata so;bedspread
mpa so nwansena;bedbug
mpa so wimhyɛn;bedding plane
mpa ti;bed head
mpa ti;headboard
mpaapaemu;analysis
mpaapaemu;cleft
mpaapaemu;disintegration
mpaapaemu;division
mpaapaemu;divisor
mpaapaemu;fission
mpaapaemu;fissure
mpaapaemu;fragmentation
mpaapaemu;partition
mpaapaemu;rift
mpaapaemu;rupture
mpaapaemu;schism
mpaapaemu;spliff
mpaapaemu;splinter
mpaapaemu;splits
mpaapaemu a wɔkyekyɛ;divisibility
mpaapaemu a wɔtetew mu;segregation
mpaapaemu a wɔtew wɔn ho;separatism
mpaapaemu awiei;split end
mpaboa;boot
mpaboa;shoe
mpaboa a wɔde da;pajamas
mpaboa a wɔde hyɛ;footwear
mpaboa a wɔde hyɛ;slipper
mpaboa a wɔde hyɛ mu;shoe polish
mpaboa a wɔde hyɛ mu;shoebill
mpaboa a wɔde yɛ mpaboa;sandal
mpaboa a ɔda mpan;barefoot
mpaboa a ɛyɛ league ason;seven-league boots
mpaboa abɛn;shoehorn
mpaboa dua;shoe tree
mpaboa hama;shoelace
mpaboa kɛse;shoe size
mpaboa yɛfo;shoemaker
mpaebɔ;prayer
mpaebɔ frankaa;prayer flag
mpaebɔ mantis;praying mantis
mpaebɔ nhwiren;prayer beads
mpaemuka a wɔbɔ;proclamation
mpaemuka a wɔde ma;declaration
mpaepaemu na di nkonim;divide and conquer
mpanimfoɔ;council
mpanin;elderly
mpanin;executive
mpanyimfo a wɔhwɛ wɔn;eldercare
mpanyin afe so;adulthood
mpanyinyɛ;old age
mpapo ahwɛfo;goatherd
mpapo nhoma;goatskin
mpaprɛ;desert
mpata;atone
mpata;atonement
mpata a wɔde bɛma;reconciliation
mpata a wɔde ma;propitiation
mpata a wɔde tua ho ka;expiation
mpataa a wokum wɔn;catslaughter
mpataa a wotu;flying fish
mpataa a wɔde bɛkamfo wɔn;fish for compliments
mpataa a wɔde hyɛ mu;fishhook
mpataa a wɔko;fighting fish
mpataa a wɔnantew;walking fish
mpataa a wɔyɛ;fishy
mpataa a wɔyɛn wɔn;fish farming
mpataa a ɛyɛ tratraa;flatfish
mpataa afiri;fish trap
mpataa aniwa a wɔde hwɛ ade;fisheye lens
mpataa bɔɔl;fishball
mpataa dompe;fishbone
mpataa fitaa a wɔtaa yɛ;common whitefish
mpataa garth;fish garth
mpataa keeki;fishcake
mpataa mu ngo;fish oil
mpataa nsateaa;fish finger
mpataa tɔnfo;fishmonger
mpataa tɔnfo de;fishmonger's
mpataa yere;fishwife
mpataayi;fishing
mpataayi akwantu;fishing expedition
mpataayi asau;fishing net
mpataayi hama;fishing line
mpataayi poma;fishing rod
mpataayifo;angler
mpataayifo;anglerfish
mpem abien;two thousand
mpem anan;four thousand
mpem anum;five thousand
mpem awotwe;eight thousand
mpem du;ten thousand
mpem nson;seven thousand
mpena;boyfriend
mpena;fiancé
mpena;girlfriend
mpena a ɔyɛ n’asew;stepfather-in-law
mpena ba;stepchild
mpena ba;stepson
mpena babaa;stepdaughter
mpena nana;stepgrandfather
mpena nanabea;stepgrandmother
mpenaba;bastard
mpenabea;concubine
mpene;resist
mpepaho;towel
mpire a wɔbɔ;flog
mpire a wɔbɔ;flogging
mpire a wɔbɔ;whip
mpire a wɔbɔ;whiplash
mpire a wɔbɔ;whipping
mpo;even
mpo saa;even so
mpoano;ashore
mpoano;beach
mpoano;coast
mpoano;coastal
mpoano;inshore
mpoano;seaside
mpoano;shore
mpoano a ɛwɔ hɔ;coastline
mpoano a ɛwɔ hɔ;shoreline
mpoano a ɛwɔ mpoano;littoral
mpoano kɔ soro;shore up
mpoano mpopaho;beach towel
mpoano nkongua;beach chair
mpoano no mu da hɔ;the coast is clear
mpoano nsu a ɛwɔ hɔ;coastal waters
mpoano volleyball a wɔbɔ;beach volleyball
mpofirim;abrupt
mpofirim ara;abruptly
mpofirim ara;all of a sudden
mpoma;window
mpopaho a wɔde guare;bath towel
mpopaho keteke kwan;towel rail
mporoporowa;debris
mprako;swine
mprako a wɔde wɔn ho hyɛ mu;piggyback
mprako a wɔfrɛ no porcine;porcine
mprako atiridiinini;swine fever
mprako atiridiinini;swine flu
mprako ba;piglet
mprako dade;pig iron
mprako dan;pigsty
mprako dua;pigtail
mprako hwɛfo;swineherd
mprako latin kasa;pig Latin
mprako nam a wɔayam;pork rind
mprako po so;Bay of Pigs
mprako sikakorabea;piggy bank
mprako yafunu;pork belly
mprempren a ɛnyɛ den;simple present
mprempren a ɛsesa;alternating current
mprempren adeyɛ asɛm;present participle
mprempren agyapade;current asset
mprempren akontaabu;current account
mprempren ara;just now
mprempren bere;present tense
mprempren de;for now
mprempren de;for the time being
mprempren ne mprempren;now and then
mprempren yi;at the moment
mprenu;twice
mprenu so;duplication
mprɛnsa;threefold
mprɛnsa;thrice
mprɛnsa;triple
mprɛte so tectonics;plate tectonics
mpuntuo;development
mpuntuo;improvement
mpuntuo;milestone
mpuntuo;progress
mpɔtam;community
mpɔtam;hood
mpɔtam;local
mpɔtam;neighborhood
mpɔtam a ɛwɔ ahofadi;autonomous community
mpɔtam ahorow ntam;interregional
mpɔtam hɔ;locale
mpɔtam hɔ bere so;local time
mpɔtam hɔ kasa;community language
mpɔtam hɔ kuw;Local Group
mpɔtam hɔ mmara;area code
mpɔtam hɔ som adwuma;community service
mpɔtam hɔ supercluster;Local Supercluster
mpɔtorɔ;rodent
mpɔtorɔ;tortoise
mpɔtorɔ a wɔfrɛ no tortoiseshell;tortoiseshell
mpɔtorɔ akutu;tortoise shell
mpɛn anan;fourfold
mpɛn anan-anan;four-four time
mpɛn anum;fivefold
mpɛn dodoɔ;frequency
mpɛn du;tenfold
mpɛn pii;frequentative
mpɛn pii;often
mpɛn pii;over and over
mpɛn pii;repeatedly
mpɛn pii;umpteen
mpɛn pii;usually
mpɛn pii na ɛkɔ so;over and out
mpɛn pii ne mpɛn pii;again and again
mpɛn pii no;commonly
mpɛn pii no;every so often
mpɛn pii no;oftentimes
mpɛn pii no;ordinarily
mpɛn pii no;typically
mpɛnsɛmpɛnsɛmu;discussion
mrna;mRNA
mrɛ;delicate
mrɛ;easy
mrɛ;flexible
mrɛ;fragile
mrɛ;loose
mrɛ;soft
mrɛ;vulnerable
mrɛ;weak
mrɛyɛ;weakness
mu;by
mu;during
mu;in
mu;interior
mu;inward
mu afiri a ɛwɔ mu;inner tube
mu asɛm;internal
mu duro;heavy
mu duru a enni mu;weightlessness
mu duru a ɛboro so;overweight
mu duru a ɛkɔ soro;weight gain
mu duru a ɛso tew;weight loss
mu duru a ɛyɛ pɛpɛɛpɛ;gross weight
mu duru ntetee;weight training
mu dɔ;deeply
mu kɔ akyi;inside out
mu kɔ akyiri;in detail
mu ma kum no;in for the kill
mu nyinaa;throughout
mu wɔ so;in on
mu yɛ den;intensify
mu yɛ den;tense
mu-;in-
mua;solid
mua;whole
muay thai kasa;Muay Thai
muck;muck
mucous membrane a ɛwɔ nipadua no mu;mucous membrane
mudra;mudra
mudskipper a ɔyɛ atɛkyɛ;mudskipper
muduro;density
muduro;gauge
muduro;weight
mudéjar na ɔkyerɛwee;Mudéjar
muesli na ɛyɛ;muesli
muezzin;muezzin
muff;muff
muffin a wɔde yɛ nneɛma;muffin
muffle a wɔde hyɛ mu;muffle
muffler a wɔde hyɛ mu;muffler
mug a wɔatow tuo;mug shot
mugger a ɔyɛ ɔfoforo;mugger
mugging a wɔde wɔn ho hyɛ mu;mugging
muggle na ɛyɛ adwuma;Muggle
mughal ahemman no;Mughal Empire
mugwort a wɔde di dwuma;mugwort
muhammad na ɔkyerɛwee;Muhammad
mujahid na ɔyɛ;mujahid
mujik;mujik
mukaase;kitchen
mulberry a ɛyɛ fɛ;mulberry
mulberry fitaa a ɛyɛ fɛ;white mulberry
mulch a wɔde hyɛ mu;mulch
mulct;mulct
mule deer a wɔfrɛ no mule deer;mule deer
muleta;muleta
muleteer a ɔde ne ho hyɛ mu;muleteer
mull;mull
mullah;mullah
mullet a wɔde yɛ nneɛma;mullet
multi- .;multi-
multi-touch a wɔde ka nneɛma ho;multi-touch
multifocal a wɔde wɔn adwene si so;multifocal
multihull na ɛwɔ hɔ;multihull
multilayer a ɛwɔ afã horow;multilayer
multimedia a wɔde di dwuma;multimedia
multiorgasm a ɛma obi nya ɔkwasea;multiorgasm
multiorgasmic a wɔde wɔn ho hyɛ mu;multiorgasmic
multiorgasmically na ɛyɛ adwuma;multiorgasmically
multiplexer a wɔde yɛ nneɛma;multiplexer
multiplier a ɛdɔɔso;multiplier
multitactical a wɔde di dwuma;multitactical
multiuser a wɔde di dwuma;multiuser
multivariate a ɛwɔ nneɛma pii mu;multivariate
multiverse;multiverse
multiwindow a wɔde di dwuma;multiwindow
mum;mum
mum a wɔyɛ;muteness
mum blonde a ɔyɛ mum;dumb blonde
mum h;mute h
mum kasa;sign language
mum terminal;dumb terminal
mumbai na ɛwɔ hɔ;Mumbai
mumble;mumble
mumfo a wɔahu wɔn;dumbfound
mummery a wɔka kyerɛ;mummery
mummify;mummify
mummy no;mummy
mumps a ɛyɛ hu;mumps
mumu;deaf
munchies a wɔfrɛ no munchies;munchies
mundane, a ɛyɛ wiase nyinaa de;mundane
mung bean a wɔfrɛ no bean;mung bean
munich na ɛwɔ hɔ;Munich
municipal;municipal
municipality no mu;municipality
munificence a ɛyɛ den;munificence
munificent;munificent
muntenia na ɔkyerɛwee;Muntenia
mununkum a ɛpae;cloudburst
mununkum a ɛyɛ den;cloudiness
mununkum akron;cloud nine
mununkum mu kɔmputa so dwumadi;cloud computing
mununkum-ku-asase;cloud-cuckoo-land
muon;muon
murcia na ɔkyerɛwee;Murcia
muriatic acid a ɛwɔ nipadua no mu;muriatic acid
murine a wɔfrɛ no murine;murine
murmansk na ɔkyerɛwee;Murmansk
murphy mmara no;Murphy's law
murrain a ɛyɛ hu;murrain
murrey;murrey
musca na ɔkyerɛwee;Musca
muscat na ɔkyerɛwee;Muscat
muscovitefo na wɔte saa;Muscovite
muscovy ananse a wɔfrɛ no ananse;Muscovy duck
muse;muse
mush;mush
mushy a ɛyɛ fɛ;mushy
musing a wɔde susuw nneɛma ho;musing
musk;musk
musk ananse;musk duck
musk nantwi;musk ox
musket a wɔde di dwuma;musket
musketeer a ɔbɔ akuturuku;musketeer
muskrat a wɔfrɛ no muskrat;muskrat
muslimfoɔ;Muslim
muslin a wɔfrɛ no muslin;muslin
muster;muster
musty;musty
mutable a ɛsakra;mutable
mutagen a ɛma nipadua no yɛ adwuma;mutagen
mutant a wɔayɛ no foforo;mutant
mutarotation a wɔsakra no;mutarotation
mutetew mu;break up
mutism a wɔde di dwuma;mutism
mutism a wɔpaw wɔn;selective mutism
mutter;mutter
mutual fund a wɔde boa wɔn ho wɔn ho;mutual fund
mutualism a wɔde wɔn ho hyɛ mu;mutualism
muzzleloader a wɔde hyɛ mu;muzzleloader
mvp;MVP
myanmar na ɛwɔ hɔ;Myanmar
mycelium a ɛwɔ nipadua no mu;mycelium
mycological a ɛfa nipadua no ho;mycological
mycologist ho ɔbenfo;mycologist
mycology ho adesua;mycology
mycorrhiza a wɔfrɛ no mycorrhiza a wɔfrɛ no mycorrhiza;mycorrhiza
mycotoxin a wɔde yɛ aduru;mycotoxin
myelin a wɔde hyɛ nipadua no mu;myelin sheath
myelin a wɔfrɛ no myelin;myelin
myeloma a ɛdɔɔso;multiple myeloma
myelopathy a ɛyɛ yare;myelopathy
myna;myna
myoglobin a ɛwɔ nipadua no mu;myoglobin
myopia a ɛma wotumi hu ade yiye;myopia
myopic a ɛwɔ akyirikyiri;myopic
myosin a wɔde yɛ adwuma;myosin
myostatin a wɔde yɛ aduru;myostatin
myrrh a wɔfrɛ no myrrh;myrrh
myrtle a wɔfrɛ no myrtle;myrtle
mysianfo na wɔte saa;Mysian
mytilene na ɔkyerɛwee;Mytilene
myxoma a ɛma obi nya ɔyare;myxoma
myxomatosis a ɛma obi nya ɔyare mmoawa;myxomatosis
málaga na ɔkyerɛwee;Málaga
mâche;mâche
ménage à trois na ɛyɛ adwuma;ménage à trois
mérida na ɔkyerɛwee;Mérida
móstoles na ɔkyerɛwee;Móstoles
möbius a wɔabɔ no akuturuku;Möbius strip
müllerifo a wosuasua ade;Müllerian mimicry
mũdi a ɛyɛ pɛ;wholeness
mɔnkɔ;shrimp
mɛfrɛ polisifo;I'll call the police
mɛyɛ dɛn akɔ;how do I get to
m’adwene atu afra;I'm confused
m’afurum;my ass
m’ani afura;I'm blind
m’ani awu;I'm ashamed
m’ani awu;I'm embarrassed
m’ani nnye ho;I don't care
m’ani nnye ho;I'm not interested
