c major;C major
crested lark a ɛwɔ anim;crested lark
crestfallen a ɛyɛ mmerɛw;crestfallen
cretaceous bere mu;Cretaceous
cretin a wɔfrɛ no cretin;cretin
cretinism a wɔde di dwuma;cretinism
cretonne a wɔfrɛ no cretonne;cretonne
crib;crib
cribellum a wɔfrɛ no cribellum;cribellum
crick a ɛyɛ den;crick
crimea na ɛwɔ hɔ;Crimea
crimea supɔw no so;Crimean peninsula
crimeafo tatarfo;Crimean Tatar
crinoid a wɔfrɛ no crinoid;crinoid
crisp a ɛyɛ crisp;crisp
crispy a ɛyɛ crispy;crispy
critter a ɛyɛ abɔde a nkwa wom;critter
cro;CRO
croak;croak
croat kasa;Croat
croatia kasa;Croatian
croatia na ɛwɔ hɔ;Croatia
crock;crock
crocus a wɔfrɛ no crocus;crocus
croissant a wɔde yɛ nneɛma;croissant
cromlech a wɔfrɛ no cromlech;cromlech
crone;crone
cronus na ɔkyerɛwee;Cronus
cronut a wɔde yɛ adwuma;cronut
crony;crony
cronyism a wɔde di dwuma;cronyism
crook;crook
croon;croon
crop up;crop up
croquette a wɔde yɛ nneɛma;croquette
crosier na ɛyɛ adwuma;crosier
cross section;cross section
cross-platform a wɔde di dwuma;cross-platform
cross-reference a wɔde gyina hɔ ma;cross-reference
cross-section a wɔde di dwuma;cross-sectional
cross-strait a wɔde twa kwan;cross-strait
crossbar;crossbar
crossbeam a wɔde hyɛ mu;crossbeam
crossbill a wɔde di dwuma;crossbill
crossbow a wɔde di dwuma;crossbow
crossbowman a ɔbɔ akuturuku;crossbowman
crosseyed;crosseyed
crossfire a wɔde tow tuo;crossfire
crossover a wɔde twa kwan;crossover
crosstown;crosstown
crotch a ɛyɛ den;crotch
crotchet a wɔde hyɛ nipadua mu;crotchet
crotonaldehyde a wɔde yɛ adwuma;crotonaldehyde
croupier a ɛyɛ hu;croupier
crowbar a wɔde di dwuma;crowbar
crowberry a wɔfrɛ no crowberry;crowberry
crown mmaranimfo;Crown prosecutor
crt;CRT
crucian carp a wɔfrɛ no carp;crucian carp
crucible a wɔde hyɛ mu;crucible
crud;crud
cruet;cruet
crumb a wɔde ahyɛ mu;crumb
crumble;crumble
crunch a ɛyɛ den;crunch
crunch kɛseɛ;Big Crunch
crust a ɛyɛ mmerɛw;crust
crux;crux
cruzeiro na ɔkyerɛwee;cruzeiro
cryobiosis a ɛma nipadua no yɛ adwuma;cryobiosis
cryogenic a wɔde yɛ nneɛma;cryogenic
cryogenics a wɔde yɛ nneɛma;cryogenics
cryolite a wɔde yɛ nneɛma;cryolite
cryonics a wɔde yɛ nneɛma;cryonics
cryopreservation a wɔde sie;cryopreservation
cryoturbation a wɔde yɛ ade;cryoturbation
crypt;crypt
cryptic crossword a ɛyɛ ahintasɛm;cryptic crossword
cryptobiosis a ɛma obi nya ɔyare mmoawa;cryptobiosis
cryptoporticus a wɔde kyerɛw nsɛm;cryptoporticus
cryptorchidism a wɔde di dwuma wɔ ɔkwan a ɛyɛ hu so;cryptorchidism
cryptovirus a wɔde di dwuma;cryptovirus
cryptozoology ho adesua;cryptozoology
crème brûlée a wɔde yɛ aduan;crème brûlée
crème de la aduru a wɔde yɛ aduru;crème de la crème
crêpe a wɔde yɛ chine;crêpe de Chine
ctenophore a wɔde yɛ adwuma;ctenophore
ctesiphon na ɔkyerɛwee;Ctesiphon
cub;cub
cuba;Cuba
cubafo;Cuban
cubafosom;Cubanism
cube a wɔde yɛ adwuma;cube
cubed a wɔde ayɛ;cubed
cubewano;cubewano
cubic;cubic
cubic decimetre a ɛyɛ kuruwa;cubic decimetre
cubism a ɛyɛ cubism;cubism
cubist ho ɔbenfo;Cubist
cuckold a ɔyɛ ɔbarima;cuckold
cuckoo;cuckoo
cuckoo dɔn a wɔde yɛ adwuma;cuckoo clock
cud;cud
cue;cue
cuff;cuff
cuff a ɛwɔ aso no so;cuff on the ear
cufflink a wɔde hyɛ nsa;cufflink
cuirass a wɔde yɛ adwuma;cuirass
culantro;culantro
cull;cull
cultivar a wɔde yɛ adwuma;cultivar
culverin a wɔde yɛ aduru;culverin
culvert a wɔde fa nsu mu;culvert
cum;cum
cumbucket a wɔde yɛ nneɛma;cumbucket
cumdump a ɛyɛ den;cumdump
cummerbund a wɔde yɛ adwuma;cummerbund
cummingtonite a wɔde yɛ aduru;cummingtonite
cumshaw a wɔfrɛ no cumshaw;cumshaw
cumshot a wɔde hyɛ obi nsa;cumshot
cumslut a ɔyɛ ɔbarima;cumslut
cumulonimbus a ɛwɔ nipadua no mu;cumulonimbus
cuneiform a wɔakyerɛw so;cuneiform
cuneo na ɔkyerɛwee;Cuneo
cunnilingus a wɔfrɛ no cunnilingus;cunnilingus
cunt;cunt
cuntbucket a ɛyɛ fɛ;cuntbucket
cuntwhore a ɔyɛ ɔbarima;cuntwhore
cupel a wɔde hyɛ nipadua mu;cupel
cupid;Cupid
cupola;cupola
cuprite a wɔde yɛ nneɛma;cuprite
cupronickel a wɔde di dwuma;cupronickel
cur;cur
curare na ɛyɛ adwuma;curare
curassow a wɔfrɛ no curassow;curassow
curatorship a wɔde di dwuma;curatorship
curaçao na ɛwɔ hɔ;Curaçao
curcumin a wɔde yɛ adwuma;curcumin
curd a wɔde yɛ aduru;curd
curdle a wɔde yɛ aduru;curdle
curettage a wɔde yɛ adwuma;curettage
curette a wɔde yɛ aduru;curette
curio a wɔde hwehwɛ nneɛma mu;curio
curitiba na ɛwɔ hɔ;Curitiba
curium a wɔde hwehwɛ nneɛma mu;curium
curl a ɛyɛ kurukuruwa;curl
curlew a wɔfrɛ no curlew;curlew
curmudgeon a ɛyɛ nwonwa;curmudgeon
currant a wɔde yɛ aduru;currant
current a ɛkɔ so tẽẽ;direct current
curry a wɔde yɛ adwuma;curry
curry powder a wɔde yɛ aduru;curry powder
cursor a wɔde kyerɛ;cursor
cursory a ɛyɛ nwonwa;cursory
curt;curt
curtail a wɔde twitwa nneɛma so;curtail
curtation a wɔde twitwiw nneɛma mu;curtation
curtsey na ɛyɛ adwuma;curtsey
curvature a ɛyɛ kurukuruwa;curvature
curve a ɛyɛ kurukuruwa;curve
curveball a wɔde bɔ bɔɔl;curveball
cushaw a wɔfrɛ no cushaw;cushaw
cusk;cusk
cusp;cusp
cuspid a ɛyɛ fɛ;cuspid
cuspidate a wɔde hyɛ nipadua mu;cuspidate
custard a wɔde yɛ aduan;custard
cuticle a ɛwɔ nipadua no mu;cuticle
cutie a ɛyɛ fɛ;cutie
cutie pie a ɛyɛ fɛ;cutie pie
cutlass a wɔde twitwiw nneɛma;cutlass
cutler a wɔde twa nneɛma;cutler
cutlery a wɔde di dwuma;cutlery
cutlet a wɔde yɛ nneɛma;cutlet
cutoff a wɔatwa;cutoff
cutter;cutter
cutthroat a wɔde twa ade;cutthroat
cutthroat eel a wɔde wɔn ho hyɛ mu;cutthroat eel
cuttlefish a wɔfrɛ no cuttlefish;cuttlefish
cwm;cwm
cyan;cyan
cyanate a wɔde yɛ nneɛma;cyanate
cyanide a wɔde yɛ nneɛma;cyanide
cyanoacrylate a wɔde yɛ nneɛma;cyanoacrylate
cyanobacterium a ɛyɛ ɔyare mmoawa;cyanobacterium
cyanosis a ɛyɛ mmerɛw;cyanosis
cyanotic a ɛyɛ cyanotic;cyanotic
cyber memeneda;Cyber Monday
cyberpunk a wɔde di dwuma wɔ kɔmputa so;cyberpunk
cyclades a ɛwɔ hɔ;Cyclades
cyclamen a wɔfrɛ no cyclamen;cyclamen
cyclic a ɛyɛ kyinhyia;cyclic
cyclo- .;cyclo-
cycloalkane a wɔde yɛ nneɛma;cycloalkane
cycloalkene a wɔde yɛ nneɛma;cycloalkene
cyclogenesis a ɛba;cyclogenesis
cyclohexane a wɔde yɛ adwuma;cyclohexane
cyclohexanone a wɔde di dwuma;cyclohexanone
cycloid a ɛyɛ cycloid;cycloid
cyclophilin a wɔde di dwuma;cyclophilin
cyclopropene a wɔde yɛ nneɛma;cyclopropene
cyclops a ɛyɛ hu;cyclops
cyclosilicate a wɔde yɛ ade;cyclosilicate
cyclotron a wɔfrɛ no cyclotron;cyclotron
cygnet a wɔfrɛ no cygnet;cygnet
cygnus a wɔfrɛ no cygnus;Cygnus
cylinder a wɔde hyɛ mu;cylinder
cylinder ti a wɔde yɛ adwuma;cylinder head
cylindricity a ɛyɛ kurukuruwa;cylindricity
cymophane a wɔde yɛ ade;cymophane
cymotrichous a ɛwɔ nipadua no mu;cymotrichous
cynosure a ɛyɛ mmerɛw;cynosure
cynthia na ɔkyerɛwee;Cynthia
cyprus na ɛwɔ hɔ;Cyprus
cyrenaica na ɛwɔ hɔ;Cyrenaica
cyrene na ɔkyerɛwee;Cyrene
cyrenian kasa;Cyrenian
cyrillic kasa mu;Cyrillic
cyrillization a wɔde di dwuma;Cyrillization
cyst a ɛyɛ mmerɛw;cyst
cysteine a wɔde yɛ aduru;cysteine
cystic a ɛyɛ cystic;cystic
cystic fibrosis a ɛma mogya tu;cystic fibrosis
cystoscopy a wɔde hwɛ nipadua no mu;cystoscopy
cystotomy a wɔde yɛ adwuma;cystotomy
cytisine a wɔde yɛ aduru;cytisine
cyto- .;cyto-
cytoarchitecture a wɔde yɛ nneɛma;cytoarchitecture
cytochemistry ho adesua;cytochemistry
cytochrome a ɛma nipadua no yɛ adwuma;cytochrome
cytogenetic a ɛma nipadua no yɛ adwuma;cytogenetic
cytokine a ɛma nipadua no yɛ adwuma;cytokine
cytokinesis a ɛma nipadua no yɛ adwuma;cytokinesis
cytopathologist a ɔyɛ ɔyarefo;cytopathologist
cytoplasm a ɛwɔ nipadua no mu;cytoplasm
cytoplasmic a ɛwɔ nipadua no mu;cytoplasmic
cytoreduction a wɔtew so;cytoreduction
cytosine a wɔde yɛ adwuma;cytosine
cytoskeleton a ɛwɔ nipadua no mu;cytoskeleton
cytosol a wɔde di dwuma;cytosol
cytosolic a ɛwɔ nipadua no mu;cytosolic
cytotoxic a ɛyɛ awuduru;cytotoxic
czech kasa mu;Czech
czech republic na ɛwɔ hɔ;Czech Republic
czechfo a ɔyɛ ɔkraman;Czech hedgehog
czechia na ɛwɔ hɔ;Czechia
czecho-slovakia na ɛwɔ hɔ;Czecho-Slovakia
czechoslovakia na ɛwɔ hɔ;Czechoslovakia
cáceres na ɔkyerɛwee;Cáceres
córdoba na ɛwɔ hɔ;Córdoba
côte d’ivoire na ɛwɔ hɔ;Côte d'Ivoire
