Saami;Saamifoɔ
simplicity;nsɛm a ɛnyɛ den
simplification;nsɛm a wɔma ɛyɛ mmerɛw
Simplified Chinese;China kasa a wɔayɛ no mmerɛw
simplify;ma ɛnyɛ den
simplistic;a ɛyɛ mmerɛw
simply;kɛkɛ
simulacrum;simulacrum a wɔde yɛ nneɛma
simulate;simulate
simulated;wɔayɛ no sɛnea ɛte
simulation;simulation a wɔde yɛ nneɛma
simultaneity;bere koro mu
simultaneous;bere koro mu
simultaneously;berɛ korɔ no ara mu
simultaneousness;bere koro mu
sin;bɔne
Sinai;Sinai
Sinaloa;Sinaloa na ɛwɔ hɔ
since;firi
sincere;nokorɛ
sincerely;nokorɛ ni
sincerity;nokwaredi
sindonology;sindonology ho nimdeɛ
sine qua non;sine qua non
sine wave;sine asorɔkye
sine;sine
sinecure;sinecure a wɔde yɛ adwuma
Sinemurian;Sinemurian na ɔkyerɛwee
sinful;bɔne
sing;to dwom
singable;wotumi to dwom
Singapore dollar;Singapore dɔla
Singapore;Singapore
Singaporean;Singaporeni
singe;singe
singer-songwriter;odwontofo-nnwom kyerɛwfo
singer;dwontoni
singing;nnwom a wɔto
single file;fael biako pɛ
single parent;ɔwofo a onni ɔhokafo
single-platform;a ɛwɔ asɛnka agua biako so
single-tasking;adwuma biako a wɔyɛ
single-user;obiako a ɔde di dwuma
single;ankonam
singlet;singlet
singly even;biako mpo
singular;biako kabea
singularity;biakoyɛ
singulative;biako kabea
Sinhalese;Sinhalese kasa mu
sinicization;sinicization a wɔde yɛ nneɛma
sinicize;sinicize a wɔde yɛ adwuma
sinister;sinister, a ɛyɛ hu
Sinitic;Sinitic na ɛyɛ
sink hole;sink tokuru
sink;mem
sinkhole;sinkhole a ɛkɔ fam
sinner;ɔdebɔneyɛfo
Sino-;Sino- .
Sino-Korean;China ne Korea kasa
Sino-Xenic;Sino-Xenic a ɛyɛ nea ɛwɔ hɔ
Sinocentrism;Sinocentrism a wɔde di dwuma
sinologist;sinologist ho ɔbenfo
Sinophobia;Sinofobia ho tan
Sinophone;Sinophone kasa
Sinosphere;Sinosphere a ɛwɔ hɔ
sinter;sinter a wɔde yɛ adwuma
sintering;sintering a wɔde yɛ adwuma
sinuate;sinuate a wɔde hyɛ nipadua mu
sinuosity;sinuosity a ɛyɛ den
sinuous;sinuous a ɛyɛ mmerɛw
sinus;sinus
sinusitis;sinusitis a ɛyɛ yare
sinusoidal;sinusoidal a ɛwɔ nipadua no mu
sip;sip
siphon;sifon a wɔde di dwuma
sippy cup;sippy kuruwa
sir;Sa
sire;sire
siren song;siren dwom
siren;siren a wɔde siren
siriometer;siriometer a wɔde susuw nneɛma ho
Sirius;Sirius na ɔkyerɛwee
sirloin;sirloin a wɔde yɛ adwuma
sirocco;sirocco na ɛyɛ
sissy;sissy
sister city;onuawa kurow
sister-in-law;akumaa
sister-wife;onuawa-ɔyere
sister;nuabaa
sistergirl;onuawa abeawa
sistrum;sistrum a ɛyɛ sistrum
Sisyphus;Sisyphus a ɔyɛ ɔyarefo
sit down;tena ase
sit up;tena ase sɔre
sit-in;sit-in a wɔtena mu
sit-up;tena ase-sɔre
sit;tena ase
sitar;sitar
site map;beae no ho mfonini
site;beaeɛ
sitting duck;ananse a ɔte hɔ
sitting toilet;tiafi a wɔte hɔ
sitting;a ɔte hɔ
situated;a ɛwɔ hɔ
situation comedy;tebea ho aseresɛm
situation;tebea
siu mei;siu mei
six hundred;ahansia
six o'clock;nnɔnsia
six;nsia
sixteen hundred;ahanu dunsia
sixteen;dunsia
sixteenth;nea ɛto so dunsia
sixth sense;nkate a ɛto so asia
sixth;nea ɛto so asia
sixtieth;nea ɛto so aduosia
Sixto-Clementine;Sixto-Clementine na ɔkyerɛwee
sixty-eight;aduosia awotwe
sixty-first;aduosia biako
sixty-five;aduosia anum
sixty-four;aduosia anan
sixty-nine;aduosia nkron
sixty-one;aduosia biako
sixty-second;aduosia abien
sixty-seven;aduosia nson
sixty-six;aduosia nsia
sixty-three;aduosia abiɛsa
sixty-two;aduosia abien
sixty;aduosia
size;kɛseɛ
sizzle;sizzle
skald;skald a ɛyɛ skald
skandha;skandha a wɔde di dwuma
skate;skate a wɔde di dwuma
skateboard;skateboard a wɔde di dwuma
skateboarding;skateboarding a wɔde di dwuma
skater;skater a ɔbɔ skate
skating;skate a wɔde tu mmirika
skedaddle;skedaddle a wɔde di dwuma
skein;skein a ɛyɛ den
skeletal muscle;nnompe mu ntini
skeletal;nnompe mu
skeleton key;nnompe safe
skeleton;nnompe
Skene's gland;Skene ntini a ɛwɔ nipadua no mu
skeptic;akyinnyegyefo
skeptical;akyinnyegyefo
skepticism;adwenem naayɛ
sketch;sketch a wɔde yɛ mfonini
sketchbook;sketch nhoma a wɔde yɛ mfonini
skew;skew a ɛyɛ skew
skewed;a ɛyɛ skewed
skewer;skewer a wɔde yɛ nneɛma
skewness;skewness a ɛyɛ skewness
ski mask;ski akataso
ski;ski
skid mark;skid agyiraehyɛde
skid;skid
skidmark;skidmark a wɔde hyɛ mu
skier;skier
skiff;skiff a wɔde di dwuma
skilful;ahokokwaw
skill;nimdeɛ
skilled;wɔn a wɔn ho akokwaw
skillet;skillet a wɔde yɛ kyɛnsee
skillful;ahokokwaw
skim milk;nufusu a wɔayam
skim;skim
skimp;skimp
skin and bones;honam ani nnompe
skin cancer;honam ani kokoram
skin magazine;skin nsɛmma nhoma
skin tag;honam ani tag
skin;wedeɛ
skinflint;skinflint a wɔde yɛ honam ani hwɛbea
skink;skink
skinny;hweahwea
skip;bɔ tra
skipjack;skipjack a ɛyɛ hu
skirmish;skirmish a wɔde di dwuma
skirmisher;skirmisher a ɔyɛ ɔko
skirt;sekɛɛte
skirting board;skirting board a wɔde kyerɛw nsɛm
skitter;skitter a wɔde di dwuma
Skopje;Skopje na ɔkyerɛwee
Skopos theory;Skopos nsusuwii
skua;skua
skulk;skulk
skull and crossbones;ti nhwi ne mmeamudua nnompe
skull;ti nhwi
skullcap;ti nhwi a wɔde hyɛ
skunk;skunk a wɔfrɛ no skunk
sky blue;wim bruu
sky burial;wim asie
sky;wiem
skyclad;wim a ɛyɛ fɛ
skydiving;wim a wɔde tu mmirika
skylark;wim akraman
skylight;wim ahwehwɛ
skyscraper;wim dan a ɛkorɔn
slab;slab
slack;slack a ɛyɛ mmerɛw
slacken;slacken
slacker;slacker a ɔyɛ ɔkwasea
slag heap;slag a wɔaboaboa ano
slag;slag
slake;slake
slalom;slalom a wɔde di dwuma
slam;slam
slander;abususɛm
slanderer;kasatiafo
slanderous;abususɛm
slang;kasafĩ
slant;slant a ɛyɛ mmerɛw
slap in the face;akuturuku wɔ anim
slap;akuturuku
slapper;slapper
slash and burn;slash na hyew
slash;slash a wɔde hyɛ mu
slate;slate a wɔde yɛ adwuma
slater;slater a wɔde yɛ adwuma
slattern;slattern a wɔde hyɛ obi nsa
slaughter;kum a wokum nnipa
Slav;Slav kasa
slave-girl;akoa-abeawa
slave;akoa
slavery;nkoasom
Slavic;Slav kasa
Slavicist;Slavfo a ɔyɛ Slavfo
Slavism;Slavsom
Slavonia;Slavonia a ɛwɔ hɔ
slaw;slaw
slay;kum
slayer;owudifo
sleazebag;sleazebag a wɔde hyɛ obi nsa
sleazy;sleazy a ɔyɛ ɔkwasea
sledge;sledge a wɔde di dwuma
sledgehammer;sledgehammer a wɔde di dwuma
sleek;a ɛyɛ fɛ
sleep disorder;nna mu haw
sleep in;nna mu
sleep like a log;nna te sɛ dua
sleep mask;nna akataso
sleep on;nna wɔ so
sleep paralysis;nna mu obubuafo
sleep tight;nna a ɛyɛ den
sleep;da
sleeper;obi a ɔda
sleepiness;nna a wɔde da
sleeping bag;kotoku a wɔde da
Sleeping Beauty;Ahoɔfɛ a Ɛda
sleeping car;kar a ɛda hɔ
sleeping pill;aduru a wɔde da
sleeping sickness;nna mu yare
sleeping;reda
sleeplessness;nna a wontumi nna
sleepwalking;nna mu nantew
sleepy;anikum
sleepyhead;nna a ɛyɛ mmerɛw
sleet;sleet a ɛyɛ hu
sleeve;ataadeɛ nsa
sleight of hand;nsa a wɔde di dwuma ɔkwammɔne so
sleiveen;sleiveen a wɔde nsa ayɛ
slender;a ɛyɛ tratraa
sleuth;sleuth a ɔyɛ ɔsraani
slew;slew
slice;pae mu
sliced bread;paanoo a wɔatwitwa mu
slick;slick a ɛyɛ fɛ
slide rule;slide mmara
slide;pia fa so
slideshow;slideshow a wɔde kyerɛ
sliding door;ɔpon a ɛtwetwe
slight;kakra
slightly;kakra bi
slim;teatea
slime;slime a ɛyɛ slime
slimy;slimy a ɛyɛ slimy
sling;akuturuku
slinger;slinger a ɔyɛ ɔbarima
slingshot;slingshot a wɔde di dwuma
slip of the tongue;tɛkrɛma a ɛtwetwe
slip;patri
slipper;mpaboa a wɔde hyɛ
slipperiness;hwerɛma a ɛyɛ hwerɛma
slippery jack;jack a ɛyɛ hwerɛma
slippery;a ɛyɛ hwerɛma
slipstream;slipstream a ɛyɛ mmerɛw
slit;slit a wɔabɔ no mua
slither;slither a wɔde hyɛ mu
sliver;sliver a ɛyɛ mmerɛw
slob;slob
slobber;slobber a ɔyɛ ɔbarima
sloe;sloe
slogan;asɛmti
sloop;sloop
slop;slop a ɛyɛ mmerɛw
slope;nsaneɛ
sloppy;sloppy
slot;kwan
sloth bear;sloth bear a ɔyɛ ɔkwasea
sloth;ɔkwasea
slough;slough a wɔde yɛ adwuma
Slovak;Slovak kasa
Slovakia;Slovakia na ɛwɔ hɔ
Slovene;Slovenia kasa mu
Slovenia;Slovenia na ɛwɔ hɔ
slovenly;slovenly
Slovincian;Slovincian kasa
Slovyansk;Slovyansk na ɔkyerɛwee
slow cooker;slow cooker a wɔde noa aduan
slow down;brɛ wo ho ase
slow motion;brɛoo a wɔde di dwuma
slow;bɔkɔɔ
slowly but surely;nkakrankakra nanso ɛyɛ nokware
slowly;nyaa
slowness;brɛoo a wɔyɛ
slowworm;slowworm a ɛyɛ brɛoo
sludge;nsu a ɛyɛ fĩ
slug;slug a ɛyɛ slug
sluggish;ɔyɛ ɔkwasea
sluice gate;sluice pon ano
sluice;sluice a wɔde yɛ adwuma
slum;slum a ɛyɛ nkuraase
slumber;nna a wɔde da
slump;ɔhwe ase
slur;animtiaabu
slurp;slurp a ɛyɛ mmerɛw
slurry;slurry a wɔde yɛ aduru
slush;slush a ɛyɛ slush
slut;slut a ɔyɛ ɔbarima
slutty;slutty a ɔyɛ ɔkwasea
sly;anifere kwan so
small caps;nkataso nketewa
small change;nsakrae nketenkete
small hours;nnɔnhwerew nketewa
small intestine;dwensɔtwaa ketewaa bi
small of the back;nketewa a ɛwɔ akyi
small pica;pica nketewa
small screen;screen ketewa bi
small talk;ɔkasa nketewa
small town;kurow ketewa bi
small-minded;wɔn a wɔn adwene yɛ nketewa
small;ketewa
smallpox;akisikuru a ɛyɛ mmerɛw
smarmy;smarmy a ɛyɛ smarmy
smart card;smart card a wɔde di dwuma
smart;nyansa
smartass;smartass a ɔyɛ ɔbarima
smartness;nyansapɛ
smartphone;smartphone
smash;smash a ɛyɛ den
smashing;a ɛrebubu
smatter;smatter a ɛyɛ ketewaa bi
smattering;smattering a ɛyɛ mmerɛw
SME;SME
smear campaign;smear ɔsatu no
smear;aduru a wɔde petepete so
smectic;smectic a wɔde yɛ aduru
smegma;smegma a ɛyɛ hu
smell a rat;te ɔkraman hua
smell-brain;hua-amemene
smell;ehwa
smelly;ɛyɛ huam
smelt;na ɛyɛ hua
smelting;a wɔde smelting
smetana;smetana a wɔde hyɛ nipadua mu
smile;nwene
smiley;serew a ɛyɛ serew
smirch;smirch a ɛyɛ fɛ
smirk;serew a ɛyɛ serew
smite;akuturuku
smith;ɔdansifo
smithereens;a wɔabubu no
Smithsonian;Smithsonian na ɔkyerɛwee
smithsonite;afiri a wɔde yɛ adwuma
smitten;wɔabɔ no
smog;wusiw a ɛyɛ hu
smoke explosion;wusiw a ɛpae
smoke like a chimney;wusiw te sɛ afiri a wɔde sɔ gya
smoke-free;wusiw nnim
smoke;nwisie
smoked;na wɔnom sigaret
smoker;sigaretnomfo
smokescreen;wusiw a wɔde siw ano
smoking room;dan a wɔnom sigaret
smoking;sigaretnom
smoky quartz;quartz a wusiw wom
smolder;wusiw a ɛyɛ hyew
Smolensk;Smolensk na ɔkyerɛwee
smooch;smooch a ɛyɛ smooch
smooth snake;ɔwɔ a ne ho yɛ torotoro
smooth;motoo
smoothen;ma ɛyɛ mmerɛw
smorgasbord;smorgasbord a wɔde di dwuma
smother;smother a wɔde hyɛ obi mu
smudge;smudge a ɛyɛ fĩ
smug;ahomaso
smuggle;sum ase aguadi
smuggler;sum ase aguadifo
smuggling;sum ase aguadi
smugness;ahomaso a wɔde yɛ ade
smurf;smurf a ɛyɛ fɛ
smutty;smutty a ɛyɛ smutty
Smyrna;Smirna
snack bar;nnuan a wɔde di agoru
snack food;nnuan a wɔde di agoru
snack;adɔkɔdɔkɔdeɛ
SNAFU;SNAFU na ɛyɛ
snag;snag a ɛyɛ den
snail mail;snail mail a wɔde mena
snail;nwa
snake;ɔwɔ
snakelet;ɔwɔ
snap one's fingers;obi nsateaa a ɔbɔ
snap;twa mfoni
snapdragon;snapdragon a ɛyɛ ɔtweaseɛ
snapshot;mfonini a wɔayɛ no ntɛm
snare drum;afiri sanku
snare;afiri
snarky;snarky a ɛyɛ snarky
snarl;snarl a ɛyɛ hu
snatch;snatch a wobɛfa
sneak away;wowia wɔn ho kɔ
sneak in;wowia wo ho kɔ mu
sneak up on;wowia wo ho kɔ hɔ
sneak;wowia wɔn ho
sneaker;sneaker a wɔde di dwuma
sneaky;sum ase
sneeze;akisikuru
snicker;snicker a wɔde serew
Snickers;Snickers a wɔyɛ
sniff;sniff a wɔde hyɛ mu
sniffer dog;kraman a ɔte sniffer
snip;snip a wɔde twitwiw nneɛma
snipe;snipe a wɔde tu mmirika
sniper;sniper a ɔtow tuo
snippet;snippet a wɔatwa no tiawa
snitch;snitch a wɔde hyɛ obi nsa
snivel;snivel a ɛyɛ mmerɛw
snob;snob a ɔyɛ ɔkwasea
snobbish;snobbish a ɔyɛ ɔkwasea
snobby;snobby a ɔyɛ ɔbarima
snocross;snocross a wɔde wɔn ho hyɛ mu
snood;snood a ɛyɛ snood
snooker;snooker a wɔde di dwuma
snoop;snoop a ɛyɛ snoop
snooper;snooper a ɔyɛ ɔsraani
Snoopy;Snoopy na ɔyɛ
snooty;snooty a ɛyɛ snooty
snooze;snooze a wobɛda
snore;ahurututu mu
snorkel;snorkel a wɔde fa nsu mu
snort;akuturuku
snot;snot a ɛyɛ snot
snotty;snotty a ɛyɛ snotty
snout;hwene mu
snow bunting;sukyerɛmma a wɔde bunting
snow cannon;sukyerɛmma aprɛm
snow chain;sukyerɛmma nkɔnsɔnkɔnsɔn
snow cone;sukyerɛmma cone
snow globe;sukyerɛmma a ɛyɛ kurukuruwa
snow goose;sukyerɛmma so akɔre
snow leopard;sukyerɛmma so asono
snow pea;sukyerɛmma pea
snow plow;sukyerɛmma a wɔde yɛ afuw
Snow Queen;Sukyerɛmma Hemmaa
Snow White;Sukyerɛmma Fitaa
snow-covered;sukyerɛmma akata so
snow-white;sukyerɛmma-fitaa
snow;sunoo
snowball fight;sukyerɛmma so bɔɔl a wɔko
snowball;sukyerɛmma so bɔɔl
snowboard;snowboard a wɔde tu mmirika
snowboarding;sukyerɛmma so mmirikatu
snowclone;sukyerɛmma a wɔde yɛ nneɛma
snowdrop;sukyerɛmma a ɛtɔ
snowed under;sukyerɛmma tɔe wɔ ase
snowfall;sukyerɛmma a ɛtɔ
snowflake;sukyerɛmma a ɛyɛ hu
snowmaking;sukyerɛmma a wɔyɛ
snowman;sukyerɛmma nipa
snowmobile;kar a wɔde fa sukyerɛmma so
snowshoe;sukyerɛmma so mpaboa
snowstorm;sukyerɛmma a ɛyɛ hu
snowy owl;sukyerɛmma a ɔyɛ ɔkraman
snub;animtiaabu
snuff;snuff a wɔde hyɛ nipadua mu
snuffbox;snuffbox a wɔde hyɛ nipadua mu
snuffer;snuffer a wɔde hyɛ nipadua mu
snug;snug a ɛyɛ fɛ
Snuggie;Snuggie a ɔyɛ ɔbarima
snuggle;snuggle a wɔde wɔn ho hyɛ mu
so be it;saa ara na ɛnyɛ saa
so far;bɛpem seesei
so much;pii saa
so that;enti sɛ
so to speak;sɛ yɛbɛka a
so what;enti dɛn
so-and-so;so-ne-so
so-called;nea wɔfrɛ no
so-so;so-so
so;nti
soak;dɔn
soaked to the bone;a wɔde ahyɛ mu ma akosi dompe no mu
soap dish;samina a wɔde yɛ aduan
soap opera;soap opera a wɔde di dwuma
soap;samina
soapberry;samina a wɔde yɛ samina
soapbox;samina adaka
soar;soar
soaring;a ɛrekɔ soro
sob;sob
soba;soba
sober up;sober up
sober;deɛ ɔmmoroeɛ
sobriety;ahosodi a wɔde di dwuma
sobriquet;sobriquet a wɔde frɛ obi
soccer player;bɔɔlbɔfo
soccer;bɔɔlobɔ
Sochi;Sochi na ɛwɔ hɔ
sociable;obi a ɔpɛ fekubɔ
social anxiety;asetra mu dadwen
social class;asetra mu kuw
social climber;asetra mu ɔforotefo
social cohesion;asetra mu biakoyɛ
social contract;asetena mu apam
social Darwinism;asetra mu Darwinsom
social engineering;asetra mu mfiridwuma ho nimdeɛ
social group;asetra mu kuw
social insurance;asetra mu insurance
social liberalism;asetra mu ahofadi ho adwene
social media;sohyial media so nsɛm ho amanneɛbɔ
social network;sohyial network so nkitahodibea
social networking;sohyial networking a wɔde di dwuma
social policy;asetena mu nhyehyɛe
social psychology;asetra mu adwene ho nimdeɛ
social science;asetra ho nyansahu
social security;asetra mu ahobammɔ
social studies;asetra mu nsɛm ho adesua
social worker;asetra mu nsɛm ho dwumayɛni
social;asetenam
socialism;sohyialism a wɔde di dwuma
socialist;sohyialistfo a wɔpɛ wɔn asɛm
societism;ɔmanfo ho nsɛm
Society of Jesus;Yesu Fekuw
society;nipakuo
Socinian;Socinian kasa mu
socio-economic;asetra ne sikasɛm mu
sociogram;sociogram a wɔde kyerɛw nsɛm
sociolect;sociolect a wɔde di dwuma
sociolinguistics;asetra mu kasa ho adesua
sociological;asetra mu nsɛm ho adesua
sociologist;asetra ho ɔbenfo
sociology;asetra ho adesua
sociopath;asetra mu ɔyarefo
sock puppet;sɔks abofra a wɔde yɛ abofra
sock;sɔks
socket wrench;socket safe a wɔde hyɛ mu
socket;socket no
Socrates;Socrates na ɔkyerɛwee
Socratic method;Socratic kwan a wɔfa so yɛ adwuma
sod all;sod nyinaa
Sod's law;Sod mmara
soda pop;soda pop a wɔde di dwuma
soda water;soda nsuo
soda;soda a wɔde di dwuma
sodden;nsuo a ɛyɛ nwini
sodium benzoate;sodium benzoate a wɔde yɛ aduru
sodium bicarbonate;sodium bicarbonate a wɔde yɛ nneɛma
sodium chloride;sodium chloride a wɔde yɛ aduru
sodium hydroxide;sodium hydroxide a wɔde yɛ aduru
sodium;sodium a wɔde yɛ nneɛma
Sodom;Sodom
sodomise;sodomise ho asɛm
sodomy;sodomy a wɔde di dwuma
sofa-bed;sofa-mpa a wɔde di dwuma
sofa;sofa a wɔde di dwuma
soffit;soffit a wɔde yɛ adwuma
Sofia;Sofia na ɔkyerɛwee
soft drink;anonne a ɛyɛ dɛ
soft power;tumi a ɛyɛ mmerɛw
soft serve;soft som
soft spot;beae a ɛyɛ mmerɛw
soft water;nsuo a ɛyɛ mmerɛw
soft;mrɛ
softball;softball a wɔbɔ
softcore pornography;nguamansɛm a ɛyɛ mmerɛw
soften;brɛ ase
softening;a ɛyɛ mmerɛw
softly softly;brɛoo brɛoo
softly;brɛoo
softness;brɛoo
software;software
Sogdiana;Sogdiana na ɔkyerɛwee
soggy;soggy a ɛyɛ nwini
soil fertility;asase a ɛsow aba
soil science;asase ho nyansahu
soil;dɔteɛ
soiled;a ɛho agu fĩ
soiree;soiree a wɔde yɛ adwuma
sojourn;ahɔhoyɛ
sol-fa;sol-fa a wɔde di dwuma
sol;sol
solace;awerɛkyekye
solar calendar;owia kalenda a wɔde di dwuma
solar cell;owia nkwammoaa
solar corona;owia corona
solar day;owia da
solar eclipse;owia a ɛbɛtɔ
solar energy;owia ahoɔden
solar flare;owia ahoɔden a ɛhyerɛn
solar mass;owia mu ahoɔden kɛse
solar nebula;owia mu nsu a ɛyɛ hu
solar panel;owia ahoɔden a wɔde yɛ adwuma
solar system;owia nhyehyɛe
solar wind;owia mframa a ɛbɔ
solar;owia ahoɔden
sold out;tɔn ma ɛnsa
solder;solder a wɔde yɛ nneɛma
soldering iron;dade a wɔde solder yɛ
soldier;ɔsraani
sole proprietorship;obiakofo na ɔyɛ adwuma
sole;koro
solely;nkutoo
solemn;aniberesɛm
solemnity;aniberesɛm a wɔde di dwuma
solemnly;anibere so
solenodon;solenodon a ɛyɛ den
solenoid;solenoid a wɔde yɛ nneɛma
solicit;bisa
solicitation;abisade a wɔde hwehwɛ nneɛma
solid;mua
solidarity;biakoyɛ a wɔyɛ
solidify;solidify
solidity;solidity
solidly;solidly
solidus;solidus a wɔfrɛ no solidus
soliloquy;obiakofo kasa
solipsism;solipsism a ɛyɛ den
solitaire;obiakofo
solitary confinement;obiakofo a wɔde obi bɛto afiase
solitary;obiakofo
soliton;obiakofo
solitude;ankonamyɛ
solo;solo
soloist;obiakofo a ɔbɔ nnwom
Solomon Islander;Solomon Supɔw soni
Solomon Islands;Solomon Nsupɔw so
Solomon;Salomo
Solon;Solon na ɔkyerɛwee
solstice;owiatɔe bere
solubility;a ɛtumi nwura mu
soluble;nea ɛtumi nwura mu
solute;solute a wɔde hyɛ mu
solution;anoyie
solvable;wotumi siesie
solvation;ano aduru
solve;pɛ ano aduro
solvency;sika a wɔde tua ho ka
solvent;aduru a wɔde yɛ aduru
solver;solver a ɔde di dwuma
solyanka;solyanka
Somali;Somalia kasa mu
Somalia;Somalia na ɛwɔ hɔ
somatic;somatic a ɛwɔ nipadua mu
sombre;sombre, a ɛyɛ awerɛhow
sombrero;sombrero a wɔfrɛ no sombrero
some time;bere bi
some;bi
somebody;obi
someday;da bi da bi
somehow;biribi saa
someone;obi
somersault;somersault a wɔde wɔn ho hyɛ mu
something;biribi
sometime;bere bi
sometimes;ɛtɔ da a
somewhat;wɔ ɔkwan bi so
somewhere;baabi
sommelier;sommelier a ɔyɛ ɔdefo
somnambulate;somnambulate a ɛma obi da
somnambulism;nna a ɛma obi da
somnambulist;somnambulist a ɔyɛ ɔbarima
somnial;somnial ho asɛm
somniloquous;somniloquous a ɔkasa
somnolent;nna a wɔde da
son of a bitch;ɔba a ɔyɛ ɔbea a ɔyɛ ɔbea
son of a whore;aguaman bi ba
Son of Man;Onipa Ba
son-in-law;ɔbabarima a ɔyɛ ɔbabarima
son;ɔba
sonar;sonar
sonata form;sonata kwan a wɔfa so yɛ ade
sonata;sonata a wɔde di dwuma
sonatina;sonatina a ɛyɛ sonatina
sondage;sondage a wɔde yɛ adwuma
Song dynasty;Nnwom ahemman
Song of Songs;Nnwom mu Nnwom
song;nnwom
songbook;nnwom nhoma
songstress;nnwontofo a ɔyɛ nnwontofo
sonic boom;sonic boom a ɛyɛ den
sonic;sonic a ɛyɛ dɛ
sonnet;sonnet a wɔde yɛ adwuma
sonny;sonny
sonogram;sonogram a wɔde yɛ adwuma
sonography;sonography a wɔde kyerɛw nsɛm
sonoluminescence;sonoluminescence a wɔde yɛ adwuma
Sonora;Sonora na ɔkyerɛwee
Sony;Sony na ɔkyerɛwee
Sonya;Sonya
soon;ɛnkyɛ
sooner or later;ntɛm anaa akyiri yi
soot;soot a ɛyɛ nwini
soothe;dwodwo wo ho
soothsayer;nkɔmhyɛfo
sooty;sooty a ɛyɛ nwini
Sophia;Sophia na ɔkyerɛwee
sophism;sophism a ɛyɛ nwonwa
sophist;sophist a ɔyɛ ɔbenfo
sophisticated;abɔ ho ban
Sophocles;Sophocles na ɔkyerɛwee
sophrological;sophrological a ɛyɛ nwonwa
soporific;soporific a wɔde da
soppy;soppy a ɛyɛ soppy
sora;sora
sorbet;sorbet a wɔde yɛ aduan
Sorbian;Sorbian kasa
sorbic acid;sorbic acid a wɔde yɛ aduru
sorbitol;sorbitol a wɔde di dwuma
Sorbonne;Sorbonne na ɔkyerɛwee
sorbose;sorbose a wɔfrɛ no sorbose
sorcerer;nkonyaayifo
sorceress;abayifoɔ
sorcery;nkonyaayi
sordid;sordid
sore loser;sore loser
sore throat;menemkuro
sore;ekuro
sorghum;sorghum a wɔde yɛ akutu
Soria;Soria na ɔkyerɛwee
sororal nephew;sororal ne nua barima
sororal;sororal a ɛwɔ soro
sorority;sorority a wɔde wɔn ho hyɛ mu
sorosilicate;sorosilicate a wɔfrɛ no sorosilicate
sorrel;sorrel a ɛyɛ hu
sorrow;awerɛhoɔ
sorrowful;awerɛhowdifo
sorry I'm late;sorry me aka akyi
sorry;Kafra
sort of;ɔkwan bi so
sort out;hyehyɛ mu
sort;yiyi mu
sot;sot
soteriology;soteriology ho adesua
Sotho;Sothofo
sotto voce;sotto voce a wɔde frɛ obi
soufflé;soufflé a wɔfrɛ no soufflé
soul music;ɔkra nnwom
soul patch;ɔkra patch
soul;ɔkra
soulish;ɔkra a ɛyɛ den
soulless;ɔkra nnim
soulmate;yɔnto brɛboɔ
sound box;nnyigyei adaka
sound change;nnyigyei a ɛsakra
sound effect;nnyigyei a ɛyɛ den
sound technician;nnyigyei ho nimdefo
sound wave;nnyigyei asorɔkye
sound;nnyegyeeɛ
soundly;nnyigyei a ɛyɛ dɛ
soundness;nnyigyei a ɛyɛ dɛ
sounds like a plan;te sɛ nhyehyɛe bi
soundtrack;nnyigyei a wɔde bɔ nnwom
soup up;soup a ɛkɔ soro
soup;nkwan
soupspoon;soupspoon a wɔde yɛ aduan
souq;souq
sour cherry;cherry a ɛyɛ akisikuru
sour cream;sour cream a wɔde yɛ aduru
sour grapes;bobe a ɛyɛ akisikuru
sour;keka
source code;fibea koodu
source;farebae
sourdough;sourdough a wɔde yɛ aduru
soursop;soursop a ɛyɛ akisikuru
sousaphone;sousaphone a wɔde di dwuma
soutane;soutane a wɔde di dwuma
South Africa;South Africa
South African;South Africani
South America;Amerika Kesee Fam
South American;Amerika Kesee Fam
South Asia;Asia Kesee Fam
South Australia;Australia Kesee Fam
South Carolina;South Carolina na ɛwɔ hɔ
South Caucasus;Caucasus Kesee Fam
South China Sea;South China Po no
South Dakota;South Dakota na ɛwɔ hɔ
South Island;South Island
South Korea;South Korea
South Korean;South Koreafo kasa
South Ossetia;Ossetia Kesee Fam
South Pole;Kesee Fam Pole
South Sudan;Sudan Kesee Fam
South Tyrol;South Tyrol na ɛwɔ hɔ
South Yemen;Yemen Kesee Fam
south;anaafoɔ
Southeast Asia;Asia Kesee Fam Apuei
southeast;anafo fam apuei
Southern Africa;Afrika Kesee Fam
Southern Cross;Anafo Fam Mmeamudua
Southern Europe;Europa Kesee Fam
Southern Hemisphere;Anafo Fam Fam
southern lights;anafo fam akanea ahorow
Southern Ocean;Kesee Fam Po no
southern;anafo fam
Southerner;Kesee Famfo
southernwood;kesee fam nnua
southpaw;southpaw
Southwest Asia;Asia Kesee Fam Atɔe
southwest;anafo fam atɔe
souvenir;nkae ade
sovereign state;ɔman a ɛwɔ tumidi
sovereign;ɔhene
sovereignty;tumidi a wɔde di dwuma
Soviet Union;Soviet Union na ɛwɔ hɔ
soviet;soviet kasa mu
Sovietologist;Soviet ho ɔbenfo
Sovietology;Soviet ho adesua
sovkhoz;sovkhoz na ɔkyerɛwee
sovnarkhoz;sovnarkhoz na ɔkyerɛwee
sow;gu aba
soy milk maker;soya nufusu yɛfo
soy milk;soya nufusu
soy sauce;soya a wɔde yɛ aduan
soy;soya
soybean;soyabean a wɔde yɛ nneɛma
